,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_features,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted,Self_loops,ROI_strl_thresh
0,SVC,Gender,random,t_test,baseline,mean_strl,2,balanced_accuracy,72,82.852,84.397,87.356,90.798,70.168,69.355,69.841,76.366,True,0
1,SVC,Gender,random,t_test,baseline,mean_strl,2,balanced_accuracy,70,82.852,84.397,87.356,89.074,68.697,67.742,68.75,73.634,False,0
2,SVC,Gender,random,t_test,baseline,mean_strl,5,balanced_accuracy,179,81.045,82.27,85.38,86.757,61.555,61.29,60.0,73.739,True,0
3,SVC,Gender,random,t_test,baseline,mean_strl,5,balanced_accuracy,175,84.057,85.816,88.636,92.231,66.912,66.129,66.667,75.21,False,0
4,SVC,Gender,random,t_test,baseline,mean_strl,10,balanced_accuracy,357,99.138,99.291,99.401,100.0,65.126,64.516,64.516,75.84,True,0
5,SVC,Gender,random,t_test,baseline,mean_strl,10,balanced_accuracy,349,99.138,99.291,99.401,100.0,65.126,64.516,64.516,78.151,False,0
6,SVC,Gender,random,t_test,baseline,mean_strl,50,balanced_accuracy,1785,100.0,100.0,100.0,100.0,72.164,72.581,69.091,83.824,True,0
7,SVC,Gender,random,t_test,baseline,mean_strl,50,balanced_accuracy,1743,98.795,98.582,98.78,98.92,70.378,70.968,66.667,82.038,False,0
8,SVC,Gender,random,t_test,baseline,mean_strl,100,balanced_accuracy,3570,100.0,100.0,100.0,100.0,75.735,75.806,73.684,89.286,True,0
9,SVC,Gender,random,t_test,baseline,mean_strl,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,77.521,77.419,75.862,88.866,False,0
10,SVC,Gender,random,t_test,baseline,num_streamlines,2,balanced_accuracy,72,100.0,100.0,100.0,100.0,76.681,75.806,76.19,89.811,True,0
11,SVC,Gender,random,t_test,baseline,num_streamlines,2,balanced_accuracy,70,94.828,95.745,96.512,99.314,75.21,74.194,75.0,88.655,False,0
12,SVC,Gender,random,t_test,baseline,num_streamlines,5,balanced_accuracy,179,100.0,100.0,100.0,100.0,78.466,77.419,78.125,90.336,True,0
13,SVC,Gender,random,t_test,baseline,num_streamlines,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,78.466,77.419,78.125,89.391,False,0
14,SVC,Gender,random,t_test,baseline,num_streamlines,10,balanced_accuracy,357,100.0,100.0,100.0,100.0,78.151,77.419,77.419,90.021,True,0
15,SVC,Gender,random,t_test,baseline,num_streamlines,10,balanced_accuracy,349,97.414,97.872,98.225,99.855,73.739,72.581,73.846,90.021,False,0
16,SVC,Gender,random,t_test,baseline,num_streamlines,50,balanced_accuracy,1785,94.402,94.326,95.122,98.4,83.718,83.871,82.143,94.223,True,0
17,SVC,Gender,random,t_test,baseline,num_streamlines,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,84.034,83.871,82.759,91.492,False,0
18,SVC,Gender,random,t_test,baseline,num_streamlines,100,balanced_accuracy,3570,86.134,85.816,87.5,94.391,86.975,87.097,85.714,95.378,True,0
19,SVC,Gender,random,t_test,baseline,num_streamlines,100,balanced_accuracy,3486,85.532,85.106,86.792,94.578,88.445,88.71,87.273,94.958,False,0
20,SVC,Gender,random,fscores,baseline,mean_FA,2,balanced_accuracy,72,83.455,85.106,88.0,91.379,70.483,69.355,70.769,76.05,True,0
21,SVC,Gender,random,fscores,baseline,mean_FA,2,balanced_accuracy,71,81.647,82.979,86.047,85.916,63.34,62.903,62.295,71.849,False,0
22,SVC,Gender,random,fscores,baseline,mean_FA,5,balanced_accuracy,180,85.438,86.525,88.889,92.48,71.324,70.968,70.0,77.731,True,0
23,SVC,Gender,random,fscores,baseline,mean_FA,5,balanced_accuracy,175,81.647,82.979,86.047,87.599,63.34,62.903,62.295,74.475,False,0
24,SVC,Gender,random,fscores,baseline,mean_FA,10,balanced_accuracy,368,99.398,99.291,99.394,99.958,75.735,75.806,73.684,85.084,True,0
25,SVC,Gender,random,fscores,baseline,mean_FA,10,balanced_accuracy,353,100.0,100.0,100.0,100.0,72.794,72.581,71.186,81.303,False,0
26,SVC,Gender,random,fscores,baseline,mean_FA,50,balanced_accuracy,1787,100.0,100.0,100.0,100.0,68.592,69.355,64.151,83.929,True,0
27,SVC,Gender,random,fscores,baseline,mean_FA,50,balanced_accuracy,1755,98.193,97.872,98.16,98.899,71.849,72.581,67.925,82.458,False,0
28,SVC,Gender,random,fscores,baseline,mean_FA,100,balanced_accuracy,3570,100.0,100.0,100.0,100.0,75.735,75.806,73.684,89.286,True,0
29,SVC,Gender,random,fscores,baseline,mean_FA,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,77.521,77.419,75.862,88.866,False,0
30,SVC,Gender,random,fscores,baseline,mean_strl,2,balanced_accuracy,72,83.455,85.106,88.0,91.379,70.483,69.355,70.769,76.05,True,0
31,SVC,Gender,random,fscores,baseline,mean_strl,2,balanced_accuracy,71,81.647,82.979,86.047,85.916,63.34,62.903,62.295,71.849,False,0
32,SVC,Gender,random,fscores,baseline,mean_strl,5,balanced_accuracy,180,85.438,86.525,88.889,92.48,71.324,70.968,70.0,77.731,True,0
33,SVC,Gender,random,fscores,baseline,mean_strl,5,balanced_accuracy,175,81.647,82.979,86.047,87.578,63.34,62.903,62.295,74.475,False,0
34,SVC,Gender,random,fscores,baseline,mean_strl,10,balanced_accuracy,368,99.398,99.291,99.394,99.958,75.735,75.806,73.684,85.084,True,0
35,SVC,Gender,random,fscores,baseline,mean_strl,10,balanced_accuracy,353,100.0,100.0,100.0,100.0,72.794,72.581,71.186,81.303,False,0
36,SVC,Gender,random,fscores,baseline,mean_strl,50,balanced_accuracy,1787,100.0,100.0,100.0,100.0,68.592,69.355,64.151,83.929,True,0
37,SVC,Gender,random,fscores,baseline,mean_strl,50,balanced_accuracy,1755,98.193,97.872,98.16,98.899,71.849,72.581,67.925,82.458,False,0
38,SVC,Gender,random,fscores,baseline,mean_strl,100,balanced_accuracy,3570,100.0,100.0,100.0,100.0,75.735,75.806,73.684,89.286,True,0
39,SVC,Gender,random,fscores,baseline,mean_strl,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,77.521,77.419,75.862,88.866,False,0
40,SVC,Gender,random,fscores,baseline,num_streamlines,2,balanced_accuracy,73,98.276,98.582,98.81,99.855,73.739,72.581,73.846,90.756,True,0
41,SVC,Gender,random,fscores,baseline,num_streamlines,2,balanced_accuracy,71,100.0,100.0,100.0,100.0,76.996,75.806,76.923,88.655,False,0
42,SVC,Gender,random,fscores,baseline,num_streamlines,5,balanced_accuracy,179,100.0,100.0,100.0,100.0,79.937,79.032,79.365,89.916,True,0
43,SVC,Gender,random,fscores,baseline,num_streamlines,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,79.937,79.032,79.365,89.496,False,0
44,SVC,Gender,random,fscores,baseline,num_streamlines,10,balanced_accuracy,359,97.414,97.872,98.225,99.896,76.681,75.806,76.19,90.231,True,0
45,SVC,Gender,random,fscores,baseline,num_streamlines,10,balanced_accuracy,351,97.414,97.872,98.225,99.896,76.681,75.806,76.19,89.811,False,0
46,SVC,Gender,random,fscores,baseline,num_streamlines,50,balanced_accuracy,1823,84.493,85.106,87.425,93.727,84.349,83.871,83.333,93.277,True,0
47,SVC,Gender,random,fscores,baseline,num_streamlines,50,balanced_accuracy,1775,100.0,100.0,100.0,100.0,85.504,85.484,84.211,92.437,False,0
48,SVC,Gender,random,fscores,baseline,num_streamlines,100,balanced_accuracy,3570,86.134,85.816,87.5,94.391,86.975,87.097,85.714,95.378,True,0
49,SVC,Gender,random,fscores,baseline,num_streamlines,100,balanced_accuracy,3486,85.532,85.106,86.792,94.558,88.445,88.71,87.273,94.958,False,0
50,SVC,Gender,random,t_test,baseline,mean_FA,2,balanced_accuracy,72,82.852,84.397,87.356,90.798,70.168,69.355,69.841,76.366,True,0
51,SVC,Gender,random,t_test,baseline,mean_FA,2,balanced_accuracy,70,82.852,84.397,87.356,89.074,68.697,67.742,68.75,73.634,False,0
52,SVC,Gender,random,t_test,baseline,mean_FA,5,balanced_accuracy,179,81.045,82.27,85.38,86.757,61.555,61.29,60.0,73.739,True,0
53,SVC,Gender,random,t_test,baseline,mean_FA,5,balanced_accuracy,175,84.057,85.816,88.636,92.231,66.912,66.129,66.667,75.21,False,0
54,SVC,Gender,random,t_test,baseline,mean_FA,10,balanced_accuracy,357,99.138,99.291,99.401,100.0,65.126,64.516,64.516,75.84,True,0
55,SVC,Gender,random,t_test,baseline,mean_FA,10,balanced_accuracy,349,99.138,99.291,99.401,100.0,65.126,64.516,64.516,78.204,False,0
56,SVC,Gender,random,t_test,baseline,mean_FA,50,balanced_accuracy,1785,100.0,100.0,100.0,100.0,72.164,72.581,69.091,83.824,True,0
57,SVC,Gender,random,t_test,baseline,mean_FA,50,balanced_accuracy,1743,98.795,98.582,98.78,98.92,70.378,70.968,66.667,82.038,False,0
58,SVC,Gender,random,t_test,baseline,mean_FA,100,balanced_accuracy,3570,100.0,100.0,100.0,100.0,75.735,75.806,73.684,89.286,True,0
59,SVC,Gender,random,t_test,baseline,mean_FA,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,77.521,77.419,75.862,88.866,False,0
60,RF,Gender,random,t_test,baseline,mean_strl,2,balanced_accuracy,72,93.623,94.326,95.294,99.211,61.555,61.29,60.0,71.218,True,0
61,RF,Gender,random,t_test,baseline,mean_strl,2,balanced_accuracy,70,91.037,92.199,93.642,98.899,63.025,62.903,61.017,73.845,False,0
62,RF,Gender,random,t_test,baseline,mean_strl,5,balanced_accuracy,179,97.414,97.872,98.225,100.0,58.298,58.065,56.667,68.487,True,0
63,RF,Gender,random,t_test,baseline,mean_strl,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,55.357,54.839,54.839,65.704,False,0
64,RF,Gender,random,t_test,baseline,mean_strl,10,balanced_accuracy,357,100.0,100.0,100.0,100.0,56.828,56.452,55.738,70.378,True,0
65,RF,Gender,random,t_test,baseline,mean_strl,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,58.298,58.065,56.667,65.809,False,0
66,RF,Gender,random,t_test,baseline,mean_strl,50,balanced_accuracy,1785,100.0,100.0,100.0,100.0,61.87,61.29,61.29,72.689,True,0
67,RF,Gender,random,t_test,baseline,mean_strl,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,60.084,59.677,59.016,69.958,False,0
68,RF,Gender,random,t_test,baseline,mean_strl,100,balanced_accuracy,3570,97.071,97.163,97.59,99.834,57.458,56.452,58.462,71.639,True,0
69,RF,Gender,random,t_test,baseline,mean_strl,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,61.87,61.29,61.29,71.691,False,0
70,RF,Gender,random,t_test,baseline,num_streamlines,2,balanced_accuracy,72,100.0,100.0,100.0,100.0,78.151,77.419,77.419,85.767,True,0
71,RF,Gender,random,t_test,baseline,num_streamlines,2,balanced_accuracy,70,100.0,100.0,100.0,100.0,71.954,70.968,71.875,86.45,False,0
72,RF,Gender,random,t_test,baseline,num_streamlines,5,balanced_accuracy,179,100.0,100.0,100.0,100.0,70.483,69.355,70.769,87.395,True,0
73,RF,Gender,random,t_test,baseline,num_streamlines,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,75.525,74.194,75.758,88.655,False,0
74,RF,Gender,random,t_test,baseline,num_streamlines,10,balanced_accuracy,357,100.0,100.0,100.0,100.0,70.483,69.355,70.769,89.653,True,0
75,RF,Gender,random,t_test,baseline,num_streamlines,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,70.168,69.355,69.841,84.349,False,0
76,RF,Gender,random,t_test,baseline,num_streamlines,50,balanced_accuracy,1785,100.0,100.0,100.0,100.0,78.151,77.419,77.419,90.651,True,0
77,RF,Gender,random,t_test,baseline,num_streamlines,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,74.895,74.194,74.194,88.498,False,0
78,RF,Gender,random,t_test,baseline,num_streamlines,100,balanced_accuracy,3570,100.0,100.0,100.0,100.0,73.424,72.581,73.016,89.443,True,0
79,RF,Gender,random,t_test,baseline,num_streamlines,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,70.798,69.355,71.642,85.084,False,0
80,RF,Gender,random,fscores,baseline,mean_FA,2,balanced_accuracy,72,91.296,92.199,93.567,98.671,64.496,64.516,62.069,74.265,True,0
81,RF,Gender,random,fscores,baseline,mean_FA,2,balanced_accuracy,71,100.0,100.0,100.0,100.0,58.298,58.065,56.667,67.332,False,0
82,RF,Gender,random,fscores,baseline,mean_FA,5,balanced_accuracy,180,100.0,100.0,100.0,100.0,59.769,59.677,57.627,69.328,True,0
83,RF,Gender,random,fscores,baseline,mean_FA,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,58.613,58.065,58.065,69.643,False,0
84,RF,Gender,random,fscores,baseline,mean_FA,10,balanced_accuracy,368,100.0,100.0,100.0,100.0,60.399,59.677,60.317,69.223,True,0
85,RF,Gender,random,fscores,baseline,mean_FA,10,balanced_accuracy,353,100.0,100.0,100.0,100.0,55.357,54.839,54.839,68.067,False,0
86,RF,Gender,random,fscores,baseline,mean_FA,50,balanced_accuracy,1787,100.0,100.0,100.0,100.0,62.185,61.29,62.5,73.529,True,0
87,RF,Gender,random,fscores,baseline,mean_FA,50,balanced_accuracy,1755,96.209,96.454,97.006,99.522,56.828,56.452,55.738,71.534,False,0
88,RF,Gender,random,fscores,baseline,mean_FA,100,balanced_accuracy,3570,100.0,100.0,100.0,100.0,56.828,56.452,55.738,72.006,True,0
89,RF,Gender,random,fscores,baseline,mean_FA,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,60.399,59.677,60.317,72.374,False,0
90,RF,Gender,random,fscores,baseline,mean_strl,2,balanced_accuracy,72,100.0,100.0,100.0,100.0,55.357,54.839,54.839,70.693,True,0
91,RF,Gender,random,fscores,baseline,mean_strl,2,balanced_accuracy,71,91.037,92.199,93.642,99.522,63.025,62.903,61.017,70.273,False,0
92,RF,Gender,random,fscores,baseline,mean_strl,5,balanced_accuracy,180,94.828,95.745,96.512,99.688,60.084,59.677,59.016,70.063,True,0
93,RF,Gender,random,fscores,baseline,mean_strl,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,57.143,56.452,57.143,70.693,False,0
94,RF,Gender,random,fscores,baseline,mean_strl,10,balanced_accuracy,368,100.0,100.0,100.0,100.0,58.298,58.065,56.667,67.227,True,0
95,RF,Gender,random,fscores,baseline,mean_strl,10,balanced_accuracy,353,100.0,100.0,100.0,100.0,53.887,53.226,53.968,66.597,False,0
96,RF,Gender,random,fscores,baseline,mean_strl,50,balanced_accuracy,1787,100.0,100.0,100.0,100.0,63.025,62.903,61.017,73.424,True,0
97,RF,Gender,random,fscores,baseline,mean_strl,50,balanced_accuracy,1755,100.0,100.0,100.0,100.0,60.084,59.677,59.016,71.008,False,0
98,RF,Gender,random,fscores,baseline,mean_strl,100,balanced_accuracy,3570,100.0,100.0,100.0,100.0,58.929,58.065,59.375,72.584,True,0
99,RF,Gender,random,fscores,baseline,mean_strl,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,57.143,56.452,57.143,68.33,False,0
100,RF,Gender,random,fscores,baseline,num_streamlines,2,balanced_accuracy,73,100.0,100.0,100.0,100.0,73.424,72.581,73.016,87.132,True,0
101,RF,Gender,random,fscores,baseline,num_streamlines,2,balanced_accuracy,71,100.0,100.0,100.0,100.0,73.424,72.581,73.016,86.87,False,0
102,RF,Gender,random,fscores,baseline,num_streamlines,5,balanced_accuracy,179,100.0,100.0,100.0,100.0,70.798,69.355,71.642,87.395,True,0
103,RF,Gender,random,fscores,baseline,num_streamlines,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,73.424,72.581,73.016,87.815,False,0
104,RF,Gender,random,fscores,baseline,num_streamlines,10,balanced_accuracy,359,100.0,100.0,100.0,100.0,77.836,77.419,76.667,88.55,True,0
105,RF,Gender,random,fscores,baseline,num_streamlines,10,balanced_accuracy,351,100.0,100.0,100.0,100.0,73.424,72.581,73.016,87.973,False,0
106,RF,Gender,random,fscores,baseline,num_streamlines,50,balanced_accuracy,1823,100.0,100.0,100.0,100.0,76.366,75.806,75.41,88.866,True,0
107,RF,Gender,random,fscores,baseline,num_streamlines,50,balanced_accuracy,1775,100.0,100.0,100.0,100.0,76.681,75.806,76.19,87.395,False,0
108,RF,Gender,random,fscores,baseline,num_streamlines,100,balanced_accuracy,3570,100.0,100.0,100.0,100.0,70.483,69.355,70.769,84.926,True,0
109,RF,Gender,random,fscores,baseline,num_streamlines,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,71.954,70.968,71.875,86.607,False,0
110,RF,Gender,random,t_test,baseline,mean_FA,2,balanced_accuracy,72,100.0,100.0,100.0,100.0,58.613,58.065,58.065,69.485,True,0
111,RF,Gender,random,t_test,baseline,mean_FA,2,balanced_accuracy,70,97.933,97.872,98.182,99.958,63.025,62.903,61.017,69.643,False,0
112,RF,Gender,random,t_test,baseline,mean_FA,5,balanced_accuracy,179,100.0,100.0,100.0,100.0,58.613,58.065,58.065,70.588,True,0
113,RF,Gender,random,t_test,baseline,mean_FA,5,balanced_accuracy,175,95.69,96.454,97.076,99.917,56.828,56.452,55.738,68.067,False,0
114,RF,Gender,random,t_test,baseline,mean_FA,10,balanced_accuracy,357,100.0,100.0,100.0,100.0,56.828,56.452,55.738,69.118,True,0
115,RF,Gender,random,t_test,baseline,mean_FA,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,56.828,56.452,55.738,68.487,False,0
116,RF,Gender,random,t_test,baseline,mean_FA,50,balanced_accuracy,1785,100.0,100.0,100.0,100.0,63.655,62.903,63.492,73.267,True,0
117,RF,Gender,random,t_test,baseline,mean_FA,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,63.025,62.903,61.017,68.645,False,0
118,RF,Gender,random,t_test,baseline,mean_FA,100,balanced_accuracy,3570,100.0,100.0,100.0,100.0,61.87,61.29,61.29,72.059,True,0
119,RF,Gender,random,t_test,baseline,mean_FA,100,balanced_accuracy,3486,96.811,97.163,97.619,99.771,53.887,53.226,53.968,70.693,False,0
120,MLP,Gender,random,t_test,baseline,mean_strl,2,balanced_accuracy,72,83.371,84.397,87.059,93.394,69.853,69.355,68.852,78.571,True,0
121,MLP,Gender,random,t_test,baseline,mean_strl,2,balanced_accuracy,70,88.627,89.362,91.124,93.29,69.538,69.355,67.797,78.466,False,0
122,MLP,Gender,random,t_test,baseline,mean_strl,5,balanced_accuracy,179,87.682,87.943,89.697,95.845,67.437,67.742,64.286,80.147,True,0
123,MLP,Gender,random,t_test,baseline,mean_strl,5,balanced_accuracy,175,85.355,85.816,87.952,94.038,66.282,66.129,64.407,76.996,False,0
124,MLP,Gender,random,t_test,baseline,mean_strl,10,balanced_accuracy,357,100.0,100.0,100.0,100.0,79.307,79.032,77.966,84.979,True,0
125,MLP,Gender,random,t_test,baseline,mean_strl,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,73.634,74.194,70.37,82.773,False,0
126,MLP,Gender,random,t_test,baseline,mean_strl,50,balanced_accuracy,1785,100.0,100.0,100.0,100.0,76.576,77.419,73.077,82.878,True,0
127,MLP,Gender,random,t_test,baseline,mean_strl,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,74.475,75.806,69.388,82.983,False,0
128,MLP,Gender,random,t_test,baseline,mean_strl,100,balanced_accuracy,3570,100.0,100.0,100.0,100.0,74.475,75.806,69.388,83.929,True,0
129,MLP,Gender,random,t_test,baseline,mean_strl,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,76.576,77.419,73.077,87.395,False,0
130,MLP,Gender,random,t_test,baseline,num_streamlines,2,balanced_accuracy,72,100.0,100.0,100.0,100.0,80.462,80.645,78.571,86.975,True,0
131,MLP,Gender,random,t_test,baseline,num_streamlines,2,balanced_accuracy,70,100.0,100.0,100.0,100.0,73.109,72.581,72.131,87.08,False,0
132,MLP,Gender,random,t_test,baseline,num_streamlines,5,balanced_accuracy,179,100.0,100.0,100.0,100.0,80.777,80.645,79.31,88.55,True,0
133,MLP,Gender,random,t_test,baseline,num_streamlines,5,balanced_accuracy,175,98.276,98.582,98.81,100.0,69.013,67.742,69.697,86.555,False,0
134,MLP,Gender,random,t_test,baseline,num_streamlines,10,balanced_accuracy,357,100.0,100.0,100.0,100.0,86.975,87.097,85.714,92.752,True,0
135,MLP,Gender,random,t_test,baseline,num_streamlines,10,balanced_accuracy,349,96.552,97.163,97.647,99.771,77.836,77.419,76.667,91.176,False,0
136,MLP,Gender,random,t_test,baseline,num_streamlines,50,balanced_accuracy,1785,100.0,100.0,100.0,100.0,88.13,88.71,86.792,93.172,True,0
137,MLP,Gender,random,t_test,baseline,num_streamlines,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,85.189,85.484,83.636,91.387,False,0
138,MLP,Gender,random,t_test,baseline,num_streamlines,100,balanced_accuracy,3570,100.0,100.0,100.0,100.0,85.189,85.484,83.636,93.067,True,0
139,MLP,Gender,random,t_test,baseline,num_streamlines,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,76.366,75.806,75.41,88.971,False,0
140,MLP,Gender,random,fscores,baseline,mean_FA,2,balanced_accuracy,72,82.769,83.688,86.391,91.795,68.697,67.742,68.75,77.311,True,0
141,MLP,Gender,random,fscores,baseline,mean_FA,2,balanced_accuracy,71,81.907,82.979,85.882,91.649,71.008,70.968,68.966,78.151,False,0
142,MLP,Gender,random,fscores,baseline,mean_FA,5,balanced_accuracy,180,82.509,83.688,86.55,91.379,72.269,70.968,72.727,78.361,True,0
143,MLP,Gender,random,fscores,baseline,mean_FA,5,balanced_accuracy,175,85.958,86.525,88.623,93.976,69.853,69.355,68.852,77.521,False,0
144,MLP,Gender,random,fscores,baseline,mean_FA,10,balanced_accuracy,368,91.296,92.199,93.567,96.905,69.223,69.355,66.667,80.462,True,0
145,MLP,Gender,random,fscores,baseline,mean_FA,10,balanced_accuracy,353,93.02,93.617,94.675,97.3,63.866,64.516,59.259,75.945,False,0
146,MLP,Gender,random,fscores,baseline,mean_FA,50,balanced_accuracy,1787,100.0,100.0,100.0,100.0,78.361,79.032,75.472,84.979,True,0
147,MLP,Gender,random,fscores,baseline,mean_FA,50,balanced_accuracy,1755,100.0,100.0,100.0,100.0,76.576,77.419,73.077,85.714,False,0
148,MLP,Gender,random,fscores,baseline,mean_FA,100,balanced_accuracy,3570,100.0,100.0,100.0,100.0,75.105,75.806,71.698,84.559,True,0
149,MLP,Gender,random,fscores,baseline,mean_FA,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,78.046,79.032,74.51,86.345,False,0
150,MLP,Gender,random,fscores,baseline,mean_strl,2,balanced_accuracy,72,85.096,85.816,88.095,92.709,79.622,79.032,78.689,79.937,True,0
151,MLP,Gender,random,fscores,baseline,mean_strl,2,balanced_accuracy,71,81.305,82.27,85.207,89.551,65.126,64.516,64.516,71.324,False,0
152,MLP,Gender,random,fscores,baseline,mean_strl,5,balanced_accuracy,180,83.455,85.106,88.0,91.296,64.811,64.516,63.333,73.95,True,0
153,MLP,Gender,random,fscores,baseline,mean_strl,5,balanced_accuracy,175,84.057,85.816,88.636,92.252,64.286,62.903,65.672,66.282,False,0
154,MLP,Gender,random,fscores,baseline,mean_strl,10,balanced_accuracy,368,100.0,100.0,100.0,100.0,77.206,77.419,75.0,84.034,True,0
155,MLP,Gender,random,fscores,baseline,mean_strl,10,balanced_accuracy,353,91.296,92.199,93.567,97.673,65.966,66.129,63.158,80.357,False,0
156,MLP,Gender,random,fscores,baseline,mean_strl,50,balanced_accuracy,1787,100.0,100.0,100.0,100.0,74.79,75.806,70.588,84.664,True,0
157,MLP,Gender,random,fscores,baseline,mean_strl,50,balanced_accuracy,1755,100.0,100.0,100.0,100.0,73.319,74.194,69.231,78.992,False,0
158,MLP,Gender,random,fscores,baseline,mean_strl,100,balanced_accuracy,3570,100.0,100.0,100.0,100.0,81.618,82.258,79.245,90.756,True,0
159,MLP,Gender,random,fscores,baseline,mean_strl,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,73.319,74.194,69.231,81.933,False,0
160,MLP,Gender,random,fscores,baseline,num_streamlines,2,balanced_accuracy,73,100.0,100.0,100.0,100.0,79.307,79.032,77.966,90.651,True,0
161,MLP,Gender,random,fscores,baseline,num_streamlines,2,balanced_accuracy,71,100.0,100.0,100.0,100.0,78.151,77.419,77.419,86.555,False,0
162,MLP,Gender,random,fscores,baseline,num_streamlines,5,balanced_accuracy,179,99.138,99.291,99.401,99.938,72.479,72.581,70.175,87.395,True,0
163,MLP,Gender,random,fscores,baseline,num_streamlines,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,86.66,87.097,85.185,91.807,False,0
164,MLP,Gender,random,fscores,baseline,num_streamlines,10,balanced_accuracy,359,100.0,100.0,100.0,100.0,79.307,79.032,77.966,89.076,True,0
165,MLP,Gender,random,fscores,baseline,num_streamlines,10,balanced_accuracy,351,100.0,100.0,100.0,100.0,83.718,83.871,82.143,90.966,False,0
166,MLP,Gender,random,fscores,baseline,num_streamlines,50,balanced_accuracy,1823,100.0,100.0,100.0,100.0,86.975,87.097,85.714,92.017,True,0
167,MLP,Gender,random,fscores,baseline,num_streamlines,50,balanced_accuracy,1775,100.0,100.0,100.0,100.0,89.601,90.323,88.462,95.168,False,0
168,MLP,Gender,random,fscores,baseline,num_streamlines,100,balanced_accuracy,3570,100.0,100.0,100.0,100.0,85.189,85.484,83.636,91.492,True,0
169,MLP,Gender,random,fscores,baseline,num_streamlines,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,84.034,83.871,82.759,89.076,False,0
170,MLP,Gender,random,t_test,baseline,mean_FA,2,balanced_accuracy,72,81.647,82.979,86.047,90.154,65.126,64.516,64.516,70.798,True,0
171,MLP,Gender,random,t_test,baseline,mean_FA,2,balanced_accuracy,70,83.371,84.397,87.059,92.73,71.954,70.968,71.875,78.256,False,0
172,MLP,Gender,random,t_test,baseline,mean_FA,5,balanced_accuracy,179,80.526,82.27,85.714,88.949,60.084,59.677,59.016,73.424,True,0
173,MLP,Gender,random,t_test,baseline,mean_FA,5,balanced_accuracy,175,86.903,87.943,90.058,94.08,67.752,67.742,65.517,80.567,False,0
174,MLP,Gender,random,t_test,baseline,mean_FA,10,balanced_accuracy,357,90.434,91.489,93.023,98.13,67.437,67.742,64.286,78.151,True,0
175,MLP,Gender,random,t_test,baseline,mean_FA,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,75.105,75.806,71.698,84.979,False,0
176,MLP,Gender,random,t_test,baseline,mean_FA,50,balanced_accuracy,1785,100.0,100.0,100.0,100.0,76.576,77.419,73.077,81.408,True,0
177,MLP,Gender,random,t_test,baseline,mean_FA,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,73.319,74.194,69.231,83.193,False,0
178,MLP,Gender,random,t_test,baseline,mean_FA,100,balanced_accuracy,3570,100.0,100.0,100.0,100.0,78.676,79.032,76.364,87.29,True,0
179,MLP,Gender,random,t_test,baseline,mean_FA,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,83.403,83.871,81.481,89.601,False,0
